amendment	plant_code	plant_species	tissue	dryweight
_Control	S	Phacelia tanacetifolia	root	0.0056
_Control	S	Phacelia tanacetifolia	root	0.0043
_Control	S	Phacelia tanacetifolia	root	0.0015
_Control	S	Phacelia tanacetifolia	root	0.0027
_Control	T	Helianthus annuus	root	0.0077
_Control	T	Helianthus annuus	root	0.013
_Control	T	Helianthus annuus	root	0.0129
_Control	T	Helianthus annuus	root	0.0107
_Control	T	Helianthus annuus	root	0.0086
_Control	T	Helianthus annuus	root	0.011
_Control	T	Helianthus annuus	root	0.0062
_Control	T	Helianthus annuus	root	0.0096
_Control	T	Helianthus annuus	root	0.0054
_Control	T	Helianthus annuus	root	0.0116
_Control	T	Helianthus annuus	root	0.0125
_Control	T	Helianthus annuus	root	0.0134
_Control	T	Helianthus annuus	root	0.0078
_Control	T	Helianthus annuus	root	0.0058
_Control	T	Helianthus annuus	root	0.0043
_Control	T	Helianthus annuus	root	0.0187
_Control	T	Helianthus annuus	root	0.0067
_Control	T	Helianthus annuus	root	0.0032
_Control	T	Helianthus annuus	root	0.0076
_Control	T	Helianthus annuus	root	0.0063
_Control	T	Helianthus annuus	root	0.012
_Control	T	Helianthus annuus	root	0.0087
_Control	T	Helianthus annuus	root	0.0065
_Control	U	Trifolium pratense	root	0.0023
_Control	U	Trifolium pratense	root	0.0054
_Control	U	Trifolium pratense	root	0.0007
_Control	U	Trifolium pratense	root	0.0029
_Control	U	Trifolium pratense	root	0.002
_Control	U	Trifolium pratense	root	0.0028
_Control	U	Trifolium pratense	root	0.0043
_Control	U	Trifolium pratense	root	0.0027
_Control	U	Trifolium pratense	root	0.0016
_Control	U	Trifolium pratense	root	0.0004
_Control	U	Trifolium pratense	root	0.0072
BSFFF	A	Allium cepa	root	0.0011
BSFFF	A	Allium cepa	root	0.001
BSFFF	A	Allium cepa	root	0.0026
BSFFF	A	Allium cepa	root	0.002
BSFFF	B	Daucus carota	root	0.0007
BSFFF	B	Daucus carota	root	0.0025
BSFFF	B	Daucus carota	root	0.0009
BSFFF	B	Daucus carota	root	0.0027
BSFFF	B	Daucus carota	root	0.0043
BSFFF	B	Daucus carota	root	0.0012
BSFFF	B	Daucus carota	root	0.0032
BSFFF	B	Daucus carota	root	0.0012
BSFFF	B	Daucus carota	root	0.0016
BSFFF	B	Daucus carota	root	0.0012
BSFFF	C	Brassica napus	root	0.002
BSFFF	C	Brassica napus	root	0.0024
BSFFF	C	Brassica napus	root	0.0042
BSFFF	C	Brassica napus	root	0.0019
BSFFF	C	Brassica napus	root	0.0021
BSFFF	C	Brassica napus	root	0.0059
BSFFF	C	Brassica napus	root	0.0073
BSFFF	C	Brassica napus	root	0.0016
BSFFF	C	Brassica napus	root	0.0048
BSFFF	C	Brassica napus	root	0.0028
BSFFF	C	Brassica napus	root	0.0101
BSFFF	C	Brassica napus	root	0.0055
BSFFF	C	Brassica napus	root	0.0045
BSFFF	C	Brassica napus	root	0.0015
BSFFF	C	Brassica napus	root	0.0039
BSFFF	C	Brassica napus	root	0.0054
BSFFF	C	Brassica napus	root	0.0217
